Title,Artist,Song ID,Streams,Chart Date
רחוק מכולם,Omer Adam,1w7Wovzx1mc0iM0UgY6WzG,33507,2019-12-27
Soldi,Mahmood,4szQkW1CDHqbRZGltXJdd3,33160,2019-12-27
Watermelon Sugar,Harry Styles,6UelLqGlWMcVH1E5c4H7lY,32614,2019-12-27
RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin",6cy3ki60hLwimwIje7tALf,32519,2019-12-27
איך את אוהבת,Eden Hason,4j6zwZXmowzteSNjeqq1np,32186,2019-12-27
Adore You,Harry Styles,3jjujdWJ72nww5eGnfs2E7,32141,2019-12-27
How Do You Sleep?,Sam Smith,6b2RcmUt1g9N9mQ3CbjX2Y,31968,2019-12-27
Sucker,Jonas Brothers,22vgEDb5hykfaTwLuskFGD,31868,2019-12-27
לבחור נכון,Amir Dadon,7n6emXIcaECmkljP1rPlvQ,31537,2019-12-27
כנפיים,Tuna,0VI3BydW1LdWubXt03R1kN,31143,2019-12-27
Liar,Camila Cabello,073ILU1C3APNRGF66VhtyA,31048,2019-12-27
אין בינינו חלל,Tuna,07FGglXHJlTdoAw7pLbrmE,31041,2019-12-27
The Box,Roddy Ricch,0nbXyq5TXYPCO7pr3N8S4I,30945,2019-12-27
Ransom,Lil Tecca,1lOe9qE0vR9zwWQAOk6CoO,30439,2019-12-27
שונה מהנוף,"Eden Ben Zaken, Eden Hason",2UhjGvpY50QoOtT0qV3Wy0,30267,2019-12-27
מה עבר עליי,Eden Hason,4IB1j31aPuXaTilHk2FbZt,29915,2019-12-27
יאסו,"Eden Ben Zaken, Static & Ben El, Stephane Legar",1XhmGf2ItpIcll24AeKZ6r,29823,2019-12-27
חזרי אלי,Nathan Goshen,28nUhiIpcQeClQJysiVsp2,28653,2019-12-27
Trampoline,"SHAED, ZAYN",4HBvwhhYo7YiYXkUDrOHzS,28522,2019-12-27
BOP,DaBaby,6Ozh9Ok6h4Oi1wUSLtBseN,28507,2019-12-27
Happier,"Marshmello, Bastille",2dpaYNEQHiRxtZbfNsse99,28495,2019-12-27
Sweet but Psycho,Ava Max,25sgk305KZfyuqVBQIahim,28386,2019-12-27
hot girl bummer,blackbear,7aiClxsDWFRQ0Kzk5KI5ku,28296,2019-12-27
עיניים,Eden Hason,13dz8meqaaQ39pRZ28gg9x,28244,2019-12-27
Old Town Road - Remix,"Lil Nas X, Billy Ray Cyrus",2YpeDb67231RjR0MgVLzsG,28204,2019-12-27
מה את מרגישה,Idan Amedi,2B9M3TbpXWZGupKfAoufUp,28178,2019-12-27
בלילות,Rotem Cohen,04fay70EbEGuUNBjnUgaU8,28162,2019-12-27
עכשיו הלב פתוח,Benaia Barabi,2UnjouMKvceTMggAGjBSYB,27997,2019-12-27
when the party's over,Billie Eilish,43zdsphuZLzwA9k4DJhU0I,27989,2019-12-27
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",0RiRZpuVRbi7oqRdSMwhQY,27912,2019-12-27
Nyc ניו יורק סיטי,Itay Levi,4PaJbIyPqncKEijAK7dMFG,27706,2019-12-27
Youngblood,5 Seconds of Summer,2iUXsYOEPhVqEBwsqP70rE,27617,2019-12-27
GANG GANG,"JACKBOYS, Sheck Wes",6uJONCdr2rC65BNmCnTBWK,27539,2019-12-27
ניפגש בשמחות,Omer Adam,5Ca8KB3xvb81L4I6JME90U,27445,2019-12-27
אמא אם הייתי,Hanan Ben Ari,6GeJojYQJDdKpsB71XawyK,27409,2019-12-27
Leftovers,Dennis Lloyd,0dcuGoAIPAT7OrP5CGSVBA,27305,2019-12-27
High Hopes,Panic! At The Disco,1rqqCSm0Qe4I9rUvWncaom,27269,2019-12-27
תתארו לכם,Shlomo Artzi,0CgiwDmWBRlmD4wYXBsQ5I,26946,2019-12-27
שממה,Ori Ben Ari,4lBl6TVdZKF7KyLVw68JfP,26891,2019-12-27
שבט אחים ואחיות,שבט אחים ואחיות,6V9doxBqWIdHujB55uxOiL,26745,2019-12-27
בין קודש לחול,"Amir Dadon, Shuli Rand",3V1FEnWwoN0pt2n4F6JrNx,26634,2019-12-27
ברגעים שאת הולכת,Osher Cohen,3YB8nipMIp5h5iXM23JvEx,26629,2019-12-27
Heartless,The Weeknd,57vxBYXtHMk6H1aD29V7PU,26589,2019-12-27
OUT WEST (feat. Young Thug),"JACKBOYS, Travis Scott",6gi6y1xwmVszDWkUqab1qw,26240,2019-12-27
שיכורים,Eden Hason,494ZfDEUkMIN6qhrqsNi75,26087,2019-12-27
מספרים,Moshiko Mor,6QDMIW47id5QcQG06WK3hh,25329,2019-12-27
אני רוצה,Idan Amedi,2iU9qCpLP3urxsq32yY5jc,25259,2019-12-27
סדר העבודה,Ishay Ribo,4A5lRH29TyKxllsl94BWex,25232,2019-12-27
בדיוק כמו הירח,Yuval Dayan,4oUdKVvn9QpGfYOHfErtLz,25153,2019-12-27
Lose Control,"MEDUZA, Becky Hill, Goodboys",7CHi4DtfK4heMlQaudCuHK,25040,2019-12-27
סרט רע,Gal Adam,3q8kCV6z7ntjLU1gH8bDVS,24815,2019-12-27
WHAT TO DO? (feat. Don Toliver),"JACKBOYS, Travis Scott",4AO1XhrgJczQ9bNVxdfKQe,24747,2019-12-27
Without Me,Halsey,5p7ujcrUXASCNwRaWNHR1C,24745,2019-12-27
תפסת לי מקום,Benaia Barabi,2p3MKvQWj6rUWpOsKXYotv,24622,2019-12-27
Hate Me (with Juice WRLD),Ellie Goulding,6kls8cSlUyHW2BUOkDJIZE,24587,2019-12-27
Futsal Shuffle 2020,Lil Uzi Vert,2Ec33AVlkTTq8BHFgBTdQs,24440,2019-12-27
lovely (with Khalid),Billie Eilish,0u2P5u6lvoDfwTYjAADbn4,24414,2019-12-27
את לא נשארת לבד,Idan Raichel,7HLICLbx3foebEWqYbICRc,23980,2019-12-27
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,4vUmTMuQqjdnvlZmAH61Qk,23924,2019-12-27
Girls Like You (feat. Cardi B),Maroon 5,7fa9MBXhVfQ8P8Df9OEbD8,23856,2019-12-27
Aura,Dennis Lloyd,5GoWczqfKJr4kBO93ClKa2,23516,2019-12-27
מעליות,"Dudu Tassa, Roni Alter",6DmmH8JIYRW5yvEB5BDmmd,23416,2019-12-27
Bohemian Rhapsody - Remastered 2011,Queen,4u7EnebtmKWzUH433cf5Qv,23376,2019-12-27
שמפניה,Eden Hason,4ci5mGfp5j0Vse2spBpyT3,23326,2019-12-27
GFY,Dennis Lloyd,10KQrsptNFQ0rwr7rHYjeu,23322,2019-12-27
