Title,Artist,Song ID,Streams,Chart Date
The Box,Roddy Ricch,0nbXyq5TXYPCO7pr3N8S4I,9919,2019-12-27
La Jiti,"Lbenj, Hazim Jam",7o0mFEX37KxPnfLof7NEWi,9855,2019-12-27
Labass,"Mons, Flenn",06oGU00jMBw7CUMJP13qaD,9854,2019-12-27
Karma,Madd,3pkwwEMeus1d9l6b6GDnnI,9714,2019-12-27
Bye,Mons,4CNn9te0jYrLmm3rW4YQws,9533,2019-12-27
Ya la Laa,DYSTINCT,0pqGNW2u6uepefUa0L3KbA,9530,2019-12-27
Ransom,Lil Tecca,1lOe9qE0vR9zwWQAOk6CoO,9444,2019-12-27
7elmetado 2,ElGrandeToto,5N8htWcwGU84nFmGvyKLdw,9315,2019-12-27
Darni 9elbi,Zakaria Ghafouli,1JLjTcyCsaHOPWV0QmmRNp,9172,2019-12-27
7 rings,Ariana Grande,6ocbgoVGwYJhOv1GgI9NsF,9044,2019-12-27
Beautiful People (feat. Khalid),Ed Sheeran,70eFcWOvlMObDhURTqT4Fv,9039,2019-12-27
Loukan Ja Galbak,Douzi,0knYzfOHBTORfdmF5SjMGZ,9006,2019-12-27
ZARGA,7-Toun,3T5TvGiNkXKKCgQWKhIfKU,8990,2019-12-27
Old Town Road - Remix,"Lil Nas X, Billy Ray Cyrus",2YpeDb67231RjR0MgVLzsG,8930,2019-12-27
Ensay,"Saad Lamjarred, Mohamed Ramadan",6azjD02gDO2ZarIZMs3eRk,8895,2019-12-27
Trampoline,"SHAED, ZAYN",4HBvwhhYo7YiYXkUDrOHzS,8821,2019-12-27
Ayy Macarena,Tyga,6LcauUZjF1eXQrgqMUecHX,8574,2019-12-27
Ti amo,"Mister You, Hamouda",00xoWQd2gzMQrUYohWV1lW,8557,2019-12-27
Adore You,Harry Styles,3jjujdWJ72nww5eGnfs2E7,8550,2019-12-27
hot girl bummer,blackbear,7aiClxsDWFRQ0Kzk5KI5ku,8292,2019-12-27
Il est où?,L'Algérino,77udUMOyTgkcI2NVGTNivv,8234,2019-12-27
Zemër,"Soolking, Dhurata Dora",68av1mZz0VsIYXJWATZWUW,8170,2019-12-27
Pablo,ElGrandeToto,6myPGcRsuSC2k7llCkRdad,8149,2019-12-27
Maghreb Gang (feat. French Montana & Khaled),Farid Bang,1IBUPdwV9TvaipSODdt8QY,8009,2019-12-27
Khapta,"Heuss L'enfoiré, Sofiane",6stxV2bl7xSiPUornxwyNR,7973,2019-12-27
Ride It,Regard,2tnVG71enUj33Ic2nFN6kZ,7891,2019-12-27
Fidèle,Maestro,0vEXPqhROQURy2x7FuLEcK,7874,2019-12-27
3adyani Bel Gros - Remix Master T,Cheb Bello,1Z3UznHCGkclMLMOBRxeHN,7785,2019-12-27
Guerilla,Soolking,7EAtJk0HzXQp2gpFeaaLzF,7752,2019-12-27
Liberté,"Soolking, Ouled El Bahdja",2wpZaWXBctfgqGzGWiLD1b,7698,2019-12-27
MIEL,Lartiste,5KmYE2jcSQvtLpMGXqDBWJ,7576,2019-12-27
Blanka,PNL,295SxdR1DqunCNwd0U767w,7573,2019-12-27
Malou Malou,Kader Japonais,25MuzemzYte78t3ZIzM2jk,7570,2019-12-27
Mira (feat. ElGrandeToto),Anas,3U6gSUElhmJXlYxLOp5L8W,7549,2019-12-27
Mi Vida,"Cheba Souad, Hichem Smati",07Pul2bnHNGjkTuvuJXMwg,7529,2019-12-27
Watermelon Sugar,Harry Styles,6UelLqGlWMcVH1E5c4H7lY,7500,2019-12-27
Distant,"Maes, Ninho",2iuNKcIOuHb9VIplN7NDoa,7477,2019-12-27
