Title,Artist,Song ID,Streams,Chart Date
Girls Like You (feat. Cardi B),Maroon 5,7fa9MBXhVfQ8P8Df9OEbD8,9934,2019-12-27
Look At Her Now,Selena Gomez,4yI3HpbSFSgFZtJP2kDe5m,9686,2019-12-27
Goodbyes (Feat. Young Thug),Post Malone,6vBdBCoOhKHiYDDOcorfNo,9608,2019-12-27
Believer,Imagine Dragons,0pqnGHJpmpxLKifKRmU6WP,9510,2019-12-27
Liar,Camila Cabello,073ILU1C3APNRGF66VhtyA,9506,2019-12-27
Suicidal,YNW Melly,1iSqfoUFnQwV0QW1EfUit8,9461,2019-12-27
Legends,Juice WRLD,1Knctxx9vGZxpZfF66BIEa,9428,2019-12-27
Dancing With A Stranger (with Normani),Sam Smith,6Qs4SXO9dwPj5GKvVOv8Ki,9230,2019-12-27
Tala,Sarah Geronimo,4T7CM071eEoHudiDShZlCJ,9191,2019-12-27
2002,Anne-Marie,2BgEsaKNfHUdlh97KmvFyo,9103,2019-12-27
Money In The Grave (Drake ft. Rick Ross),Drake,5ry2OE6R2zPQFDO85XkgRb,8979,2019-12-27
Good as Hell (feat. Ariana Grande) - Remix,Lizzo,07Oz5StQ7GRoygNLaXs2pd,8893,2019-12-27
Sweet but Psycho,Ava Max,25sgk305KZfyuqVBQIahim,8890,2019-12-27
If the World Was Ending - feat. Julia Michaels,JP Saxe,2kJwzbxV2ppxnQoYw4GLBZ,8825,2019-12-27
Catriona,Matthaios,4YMfE4r1JWADFw2Fn74XW2,8772,2019-12-27
I Like Me Better,Lauv,2P91MQbaiQOfbiz9VqhqKQ,8662,2019-12-27
Panini,Lil Nas X,1000nHvUdawXuUHgBod4Wv,8625,2019-12-27
Get You The Moon (feat. Snøw),Kina,4ZLzoOkj0MPWrTLvooIuaa,8553,2019-12-27
Can We Kiss Forever?,"Kina, Adriana Proenza",58wyJLv6yH1La9NIZPl3ne,8373,2019-12-27
Family,"The Chainsmokers, Kygo",3TKpJrY9q49Mj1JOsM9zGL,8317,2019-12-27
SICKO MODE,Travis Scott,2xLMifQCjDGFmkHkpNLD9h,8314,2019-12-27
"Down Like That (feat. Rick Ross, Lil Baby & S-X)",KSI,4etKC4ngPKsQDHUMnYgV3A,8282,2019-12-27
I.F.L.Y.,Bazzi,4a6q8CR2hzLk2plDkSxkfD,8246,2019-12-27
Hope,XXXTENTACION,2ZRo7axmMPeSVUvDbGkJah,8227,2019-12-27
"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,4wopYJ5wpYOM6ogm2Jugnw,8116,2019-12-27
Say You Won't Let Go,James Arthur,5uCax9HTNlzGybIStD3vDh,8080,2019-12-27
Maktoob Ma Artah,Ahmed Al Maslawi,2YKeexcZTaMatMTfts9SmG,8069,2019-12-27
Lose Control,"MEDUZA, Becky Hill, Goodboys",7CHi4DtfK4heMlQaudCuHK,8031,2019-12-27
Lover (Remix) [feat. Shawn Mendes],Taylor Swift,3i9UVldZOE0aD0JnyfAZZ0,8010,2019-12-27
"thank u, next",Ariana Grande,3e9HZxeyfWwjeyPAMmWSSQ,7866,2019-12-27
Eastside (with Halsey & Khalid),benny blanco,7FGq80cy8juXBCD2nrqdWU,7836,2019-12-27
Let Me Down Slowly,Alec Benjamin,2qxmye6gAegTMjLKEBoR3d,7799,2019-12-27
Old Town Road,Lil Nas X,0F7FA14euOIX8KcbEturGH,7795,2019-12-27
Shape of You,Ed Sheeran,7qiZfU4dY1lWllzX7mPBI3,7766,2019-12-27
Candy,Doja Cat,1VJwtWR6z7SpZRwipI12be,7743,2019-12-27
Wow.,Post Malone,7xQAfvXzm3AkraOtGPWIZg,7742,2019-12-27
the remedy for a broken heart (why am I so in love),XXXTENTACION,4UKCKdYiLN6IMA5ZESUTL7,7737,2019-12-27
Never Really Over,Katy Perry,5PYQUBXc7NYeI1obMKSJK0,7658,2019-12-27
Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,4ea9w8c4ROqiZpJVhfBA3m,7652,2019-12-27
223's (feat. 9lokknine),YNW Melly,29ZXwWOOLz9t5fa3eT3i7T,7596,2019-12-27
Jocelyn Flores,XXXTENTACION,7m9OqQk4RVRkw9JJdeAw96,7550,2019-12-27
Lights Up,Harry Styles,4jAIqgrPjKLTY9Gbez25Qb,7528,2019-12-27
Nice To Meet Ya,Niall Horan,3cphb8kdsjElYR7r5icK3H,7503,2019-12-27
GATTI,"JACKBOYS, Pop Smoke, Travis Scott",40mjsnRjCpycdUw3xhS20g,7358,2019-12-27
Psycho,Red Velvet,3CYH422oy1cZNoo0GTG1TK,7334,2019-12-27
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,0KoiMHhqKLoL4xM54rcWYY,7330,2019-12-27
Shallow,"Lady Gaga, Bradley Cooper",2VxeLyX666F8uXCJ0dZF8B,7260,2019-12-27
Tusa,"KAROL G, Nicki Minaj",7k4t7uLgtOxPwTpFmtJNTY,7218,2019-12-27
Closer,"The Chainsmokers, Halsey",7BKLCZ1jbUBVqRi2FVlTVw,7185,2019-12-27
New Rules,Dua Lipa,2xJCMIJfcNYDc5iR0sAm2O,7181,2019-12-27
God's Plan,Drake,6DCZcSspjsKoFjzjrWoCdn,7110,2019-12-27
The London (feat. J. Cole & Travis Scott),Young Thug,3s4mrPrEFFPF0LmAfutW0n,7082,2019-12-27
No Guidance (feat. Drake),Chris Brown,6XHVuErjQ4XNm6nDPVCxVX,7011,2019-12-27
FRIENDS,"Marshmello, Anne-Marie",08bNPGLD8AhKpnnERrAc6G,6994,2019-12-27
goosebumps,Travis Scott,6gBFPUFcJLzWGx4lenP6h2,6958,2019-12-27
If I Can't Have You,Shawn Mendes,2bT1PH7Cw3J9p3t7nlXCdh,6942,2019-12-27
when the party's over,Billie Eilish,43zdsphuZLzwA9k4DJhU0I,6922,2019-12-27
Kung 'Di Rin Lang Ikaw,"December Avenue, Moira Dela Torre",2BgD4nRyx9EZ5o8YEnjRSV,6917,2019-12-27
Alahh Esahilak,Ali Saber,7n6tNIk7OO7Tl19lujUGh3,6905,2019-12-27
Al Mafrood,Aseel Hameem,5Aigt44wICHJ2BDshPZqvh,6889,2019-12-27
Robbery,Juice WRLD,6Hj9jySrnFppAI0sEMCZpJ,6880,2019-12-27
VALENTINO,24kGoldn,6piAUJJQFD8oHDUr0b7l7q,6764,2019-12-27
You Need To Calm Down,Taylor Swift,6RRNNciQGZEXnqk8SQ9yv5,6692,2019-12-27
Feelings,Lauv,1cL3ucXzG2hj3XOUPIWdvZ,6671,2019-12-27
Talk (feat. Disclosure),Khalid,6TqXcAFInzjp0bODyvrWEq,6659,2019-12-27
Havana (feat. Young Thug),Camila Cabello,1rfofaqEpACxVEHIZBJe6W,6651,2019-12-27
Cradles,Sub Urban,1y4jsQt7MjnZhiD1L6qFBC,6621,2019-12-27
Zebbiana,Skusta Clee,6IdEQ3HUseBeRUYFSzSMdL,6603,2019-12-27
Suge,DaBaby,2gwkD6igEhQbDQegRCcdoB,6548,2019-12-27
Treat You Better,Shawn Mendes,3QGsuHI8jO1Rx4JWLUh9jd,6471,2019-12-27
VIBEZ,DaBaby,0fySG6A6qLE8IvDpayb5bM,6398,2019-12-27
Maniac,Conan Gray,7hpJ9tATWb2vztlq99hERP,6364,2019-12-27
Say So,Doja Cat,3Dv1eDb0MEgF93GpLXlucZ,6300,2019-12-27
changes,XXXTENTACION,7AFASza1mXqntmGtbxXprO,6264,2019-12-27
Better Now,Post Malone,7dt6x5M1jzdTEt8oCbisTK,6214,2019-12-27
IDGAF,Dua Lipa,76cy1WJvNGJTj78UqeA5zr,6210,2019-12-27
Don't Call Me Up,Mabel,5WHTFyqSii0lmT9R21abT8,6125,2019-12-27
Something Just Like This,"The Chainsmokers, Coldplay",6RUKPb4LETWmmr3iAEQktW,6120,2019-12-27
Never Seen the Rain,Tones And I,2grAr8pWMuLWn8ZYEE9wDV,6097,2019-12-27
Call You Mine,"The Chainsmokers, Bebe Rexha",2oejEp50ZzPuQTQ6v54Evp,6087,2019-12-27
Neneng B,"Nik Makino, Raf Davis",0BaMZMMEG7GWrUYsoGw8Yg,5995,2019-12-27
"Ghungroo (From ""War"")","Arijit Singh, Shilpa Rao",0WdbnNKO0Jt4BZACSDQh44,5988,2019-12-27
Into the Unknown,"Idina Menzel, AURORA",3Z0oQ8r78OUaHvGPiDBR3W,5955,2019-12-27
Mind Is A Prison,Alec Benjamin,4GGSmoTmc5LClrowB4SmEw,5954,2019-12-27
Sana,I Belong to the Zoo,1X4l4i472kW5ofFP8Xo0x0,5938,2019-12-27
July,Noah Cyrus,5a6pdCHlWS2ekOOQ70QnAr,5935,2019-12-27
Beautiful (feat. Camila Cabello),Bazzi,4VUwkH455At9kENOfzTqmF,5929,2019-12-27
All of Me,John Legend,3U4isOIWM3VvDubwSI3y7a,5898,2019-12-27
Just the Way You Are,Bruno Mars,7BqBn9nzAq8spo5e7cZ0dJ,5853,2019-12-27
Better,Khalid,6zeeWid2sgw4lap2jV61PZ,5830,2019-12-27
Binalewala - Original Version,Michael Dutchi Libranda,2tR5liucorXRwduxr0qEx6,5821,2019-12-27
Perfect,Ed Sheeran,0tgVpDi06FyKpA1z0VMD4v,5789,2019-12-27
Takeaway,"The Chainsmokers, ILLENIUM, Lennon Stella",3g0mEQx3NTanacLseoP0Gw,5789,2019-12-27
bury a friend,Billie Eilish,4SSnFejRGlZikf02HLewEF,5786,2019-12-27
Thunder,Imagine Dragons,1zB4vmk8tFRmM9UULNzbLB,5782,2019-12-27
Детство,Rauf & Faik,381kyofsIJKajRfX9iKLs8,5718,2019-12-27
i'm so tired...,"Lauv, Troye Sivan",2iwS33Jfev1QBiuhWVWZHY,5680,2019-12-27
Youngblood,5 Seconds of Summer,2iUXsYOEPhVqEBwsqP70rE,5646,2019-12-27
Photograph,Ed Sheeran,6fxVffaTuwjgEk5h9QyRjy,5639,2019-12-27
Let Me Know (I Wonder Why Freestyle),Juice WRLD,3wwo0bJvDSorOpNfzEkfXx,5620,2019-12-27
Pagtingin,Ben&Ben,5l9g7py8RCblcvbZgGQgSd,5613,2019-12-27
Imahe,Magnus Haven,65sEZZaxTjLMD8vNgPoMz5,5589,2019-12-27
Everybody Dies In Their Nightmares,XXXTENTACION,3GVkPk8mqxz0itaAriG1L7,5571,2019-12-27
The Middle,"Zedd, Maren Morris, Grey",09IStsImFySgyp0pIQdqAc,5560,2019-12-27
One Kiss (with Dua Lipa),Calvin Harris,7ef4DlsgrMEH11cDZd32M6,5521,2019-12-27
SLOW DANCING IN THE DARK,Joji,0rKtyWc8bvkriBthvHKY8d,5510,2019-12-27
Piece Of Your Heart,"MEDUZA, Goodboys",1DFD5Fotzgn6yYXkYsKiGs,5510,2019-12-27
Kahit Ayaw Mo Na,This Band,58grXgbCj7t5ulr0TGLIr9,5509,2019-12-27
Stuck In A Dream (feat. Gunna),Lil Mosey,7iHHxY2NLlJRAmlAmC4ahQ,5483,2019-12-27
HUMBLE.,Kendrick Lamar,7KXjTSCq5nL1LoYtL7XAwS,5477,2019-12-27
Starboy,"The Weeknd, Daft Punk",7MXVkk9YMctZqd1Srtv4MB,5471,2019-12-27
Too Good At Goodbyes,Sam Smith,1mXVgsBdtIVeCLJnSnmtdV,5462,2019-12-27
Higher Love,"Kygo, Whitney Houston",6oJ6le65B3SEqPwMRNXWjY,5396,2019-12-27
Ikaw At Ako,"Moira Dela Torre, Jason Marvin",0gDRtumoR9ZrvAlnniToMz,5378,2019-12-27
Dancing On My Own,Calum Scott,2BOqDYLOJBiMOXShCV1neZ,5352,2019-12-27
That's What I Like,Bruno Mars,0KKkJNfGyhkQ5aFogxQAPU,5342,2019-12-27
Boy With Luv (feat. Halsey),BTS,5KawlOMHjWeUjQtnuRs22c,5323,2019-12-27
All I Want for Christmas Is You,Mariah Carey,0bYg9bo50gSsH3LtXe2SQn,5310,2019-12-27
One Dance,"Drake, WizKid, Kyla",1zi7xx7UVEFkmKfv06H8x0,5309,2019-12-27
All Girls Are The Same,Juice WRLD,4VXIryQMWpIdGgYR4TrjT1,5291,2019-12-27
Going Bad (feat. Drake),Meek Mill,2IRZnDFmlqMuOrYOLnZZyc,5242,2019-12-27
Roses - Imanbek Remix,SAINt JHN,24Yi9hE78yPEbZ4kxyoXAI,5238,2019-12-27
Attention,Charlie Puth,5cF0dROlMOK5uNZtivgu50,5195,2019-12-27
High Hopes,Panic! At The Disco,1rqqCSm0Qe4I9rUvWncaom,5191,2019-12-27
comethru,Jeremy Zucker,18uwL0vNUanqZH0ro2QcOP,5190,2019-12-27
